level_0	index	SITEID	DESKTOP_MANUF	OTHER_DESKTOPS	LAPTOP_MANUF	OTHER_LAPTOPS	DESKTOP_VIRTUALIZATION_MANUF	WORKSTATION_MANUF	OTHER_WORKSTATIONS	SERVER_MANUF	SERVER_SERIES	OTHER_SERVERS	OS_MANUF	OS_MODEL	OTHER_OS	SERVER_VIRTUALIZATION_MANUF	NETWORK_PRINTER_MANUF	OTHER_NETWORK_PRINTERS	HIGHVOLUME_PRINTER_MANUF	COPIER_MANUF	UPS_MANUF	DAS_MANUF	NAS_MANUF	SAN_MANUF	TAPE_LIBRARY_MANUF	STORAGE_VIRTUALIZATION_MANUF	STORAGE_MGMT_SW_MANUF	PBX_MANUF	VOIP_MANUF	VOIP_HOSTING	UNIFIED_COMM_SERVICES_MANUF	LONG_DISTANCE_CARRIER	HANDSET_SMARTPHONE_MANUF	HANDSET_SMARTPHONE_OS	CELL_SERVICES_PROVIDER	PBX_MAINT_PROVIDER	MOBILITY_CONTRACT_EXPIRE	NETWORK_LINE_CARRIER	VIDEO_CONF_SERVICES_MANUF	ROUTER_MANUF	SWITCH_MANUF	VPN_MANUF	ISP_PROVIDER	NETWORK_SERVICES_PROVIDER	HOST_REMOTE	ETHERNET_TECH	VPN_CONTRACT_EXPIRE	ASSET_MGMT_SW_MANUF	ENTERPRISE_MGMT_SW_MANUF	IDACCESS_SW_MANUF	APPLICATION_SERVER_SW_MANUF	BUSINESS_INTEL_SW_MANUF	COLLABORATIVE_SW_MANUF	CRM_SW_MANUF	DOC_MGMT_SW_MANUF	APP_CONSOLIDATION_SW_MANUF	ERP_SW_MANUF	ACCOUNTING_SW_MANUF	HUMAN_RES_SW_MANUF	SUPPLY_CHAIN_SW_MANUF	WEB_PORTAL_SW_MANUF	DBMS_MANUF	DATAWAREHOUSE_SW_MANUF	SW_AS_A_SERVICE_ERP_MANUF	SW_AS_A_SERVICE_CRM_MANUF	SW_AS_A_SERVICE_STORAGE_MANUF	SW_AS_A_SERVICE_EMAIL_MANUF	SW_AS_A_SERVICE_OTHER_MANUF	EMAIL_MESSAGING_SW_MANUF	DEVELOPMENT_SW_TOOL	ANTIVIRUS_SW_MANUF	ECOMMERCE_TYPE
258910	258910	208001395											LINUX	Linux	Yes		HP						Synology																												APACHE										WordPress								EXIM			
258911	258911	208001408											Microsoft	W2012-server	Yes	VMware																								MikroTik	Cisco											MICRO-STRAT										Google						AggrgtKnowl		Atlassian		
258914	258914	208001437								HP	SERVER		LINUX	Linux 2.6	Yes		HP						EMC				GlobalRelay		West Corp	West Corp										SMC											APACHE	Alteryx	Oracle	SAP	Kofax		Microsoft	SimCorp	CERIDIAN	Oracle	Microsoft	Oracle						WORKDAY	TIBCO	HP	PaloAltoNet	
258915	258915	208001441																																																	APACHE								Oracle			Google										
258917	258917	208001470											LINUX	Linux 3.16	Yes	VMware	HP										COMMVAULT												AXIS	Cisco											APACHE	Microsoft		Gigya	Atex		IBM					MongoDB			Salesforce			IBM		Jenkins	Microsoft	
258921	258921	208001497								IBM	NETFINITY		Apache-Soft	Tomcat	Yes	VMware											Oracle													Cisco	Cisco											SAP	Adobe	Gainsight			HostAnlytcs	Vertex	CORNERSTONE		Microsoft	Apache-Soft			Salesforce			Atlassian		Docker	Microsoft	
258923	258923	208001511								IBM	XSERIES		Microsoft	ASP.NET	Yes	VMware							IBM				IBM													Cisco	Cisco										APACHE	INFO-BUILD	GitHub	Salesforce	IBM		IBM		WORKDAY		Microsoft	MapR			Salesforce			Atlassian		OpinionLab	Microsoft	
258924	258924	208001528											OpenBSD	OS	Yes		HP																							Cisco	Cisco										APACHE																		POSTFIX	COMPILER	OpenSSL	
258932	258932	208001555											Oracle	Java	Yes																									Cisco	Cisco										APACHE																	Microsoft		Liferay		
258936	258936	208001601																																																	APACHE																			RubyonRails		
258946	258946	208001660								IBM	XSERIES																																																		WordPress									COMPILER		
258948	258948	208001662																																						Cisco	Cisco																															
258953	258953	208001721								IBM	NETFINITY		Microsoft	WIN2000	Yes																																				APACHE								Oracle		WordPress									COMPILER	OpenSSL	
258954	258954	208001728						IBM		IBM	NETFINITY		LINUX	Linux 2.6	Yes																									ASUS											APACHE																	Microsoft				
258962	258962	208001759								IBM	AS/400		LINUX	Linux 2.4	Yes																									Cisco														Microsoft			AdptvInsght				Microsoft	Microsoft			Microsoft			Microsoft		mendix		
258969	258969	208001895											Microsoft	Xbox			HP																							Slingbox											APACHE			IBM														Atlassian		Atlassian		
258976	258976	208002050											Microsoft	ASP.NET																																																						Microsoft	Microsoft			
258978	258978	208002074																																																	APACHE				LIMELIGHT													Microsoft				
258979	258979	208002075											LINUX	Linux 2.6	Yes		HP																							Slingbox											APACHE											Oracle							EXIM			
258981	258981	208002098											APPLE	MAC-OS	Yes																									Cisco	Cisco											Alteryx							Kenexa			Google						Kenexa		COMPILER		
258984	258984	208002150											LINUX	Linux 3.2	Yes																																												Oracle			Google						Microsoft	Microsoft	OpenResty	Microsoft	
258992	258992	208002311											Microsoft	ASP.NET	Yes								EMC				EMC													Cisco	Cisco											Microsoft	IBM						iCIMS			Microsoft						Atlassian	Microsoft	Atlassian	Microsoft	
258996	258996	208002318											LINUX	Linux 2.4	Yes																									MikroTik											HAProxy																	Microsoft				
259000	259000	208002352																																																	APACHE	SAP					SAP		LINKEDIN	AspenTech	Microsoft	SAP						Microsoft		SAP		
259002	259002	208002388								IBM	XSERIES		LINUX	Linux 2.6	Yes		HP										F5-NETWORKS													MikroTik											APACHE																		Microsoft	Formstack	TRUSTe	
259004	259004	208002408											Cisco	Cisco IOS	Yes	VMware																								Cisco	Cisco											Microsoft		Salesforce			Kyriba				Microsoft	Google			Salesforce			Microsoft				
259076	259076	208003423											LINUX	Linux 4	Yes		HP							HP																											APACHE											Oracle							EXIM			
259033	259033	208002736											Microsoft	W2012-server	Yes		HP																							NETGEAR	Cisco										APACHE																		EXIM		Cisco	
259037	259037	208002773								IBM	3080		LINUX	Linux 2.6	Yes		HP																							Cisco	Cisco										APACHE										WordPress	Google						Microsoft	Microsoft			
259041	259041	208002829											Oracle	J2EE	Yes	VMware	LEXMARK	Yes									HP													F5-NETWORKS	Cisco																SAP		Kronos	SAP		SAP						Webtrends		Microsoft		
259042	259042	208002840											OpenSource	CentOS																																					APACHE										WordPress									COMPILER	OpenSSL	
259045	259045	208002858										Yes	Microsoft	TransactSQL	Yes	Citrix							Nutanix				Oracle													F5-NETWORKS								MainConnect			APACHE	Oracle	Mulesoft	Salesforce			SYSPRO		ADP	SAP	Microsoft	Sybase			Salesforce			Verint Sys	Microsoft	Docker	TRUSTe	
259046	259046	208002859								IBM	AS/400		LINUX	Linux 2.4	Yes	VMware											COMMVAULT													F5-NETWORKS								SAP				SAP	IBM				SAP		SAP	SAP		Microsoft						SAP	Microsoft			
259051	259051	208002973											LINUX	Linux 2.4	Yes		LEXMARK																							ASUS											APACHE											Oracle							EXIM			
259056	259056	208003109											IBM	OS2																										Cisco	Cisco										APACHE																					
259057	259057	208003134							Yes				LINUX	Linux 4.1	Yes	VMware	HP										Oracle													HP												Alteryx	GitHub	Nimble			NAVEXGlobal		LINKEDIN	Astea	Microsoft	MongoDB			Salesforce			Innotas	Microsoft	Coverity	Microsoft	
259059	259059	208003151											Microsoft	Xbox	Yes		HP																																										iCIMS			Google							SendGrid			
259061	259061	208003167											IBM	i OS	Yes								EMC				Oracle													MikroTik	Cisco											Verint Sys	IBM				Troux					Apache-Soft						Verint Sys		Oracle	Proofpoint	
259062	259062	208003170											Microsoft	ASP.NET	Yes																									Cisco	Cisco										APACHE	Microsoft	Oracle	Salesforce			Prophix		CERIDIAN			Google			Salesforce					BORLAND	Microsoft	
259066	259066	208003253											LINUX	Linux 4.4	Yes																									Cisco	Cisco										APACHE																					
259067	259067	208003259				Yes																																		MikroTik											APACHE											Microsoft							Microsoft			
259074	259074	208003372											IBM	OS2	Yes																									Cisco	Cisco																				Microsoft											
259089	259089	208003552											OpenSource	Linux	Yes																																				APACHE																	Microsoft		COMPILER		
259090	259090	208003600											LINUX	Linux 2.6	Yes																									MikroTik													RsrchMotion								Microsoft	Google						Microsoft	Microsoft	Microsoft	THAWTE	
259091	259091	208003602											Cisco	Cisco IOS																										Cisco	Cisco										APACHE										WordPress								NetWin	Amazon		
259097	259097	208003741											Cisco	Cisco IOS																										Cisco	Cisco										APACHE																					
259099	259099	208003752											LINUX	Linux 2.6																																					APACHE										WordPress							Microsoft				
