level_0	index	SITEID	IT_BUDGET	HARDWARE_BUDGET	PC_BUDGET	SERVER_BUDGET	TERMINAL_BUDGET	PRINTER_BUDGET	OTHER_HARDWARE_BUDGET	STORAGE_BUDGET	COMM_BUDGET	SOFTWARE_BUDGET	SERVICES_BUDGET
232304	232304	208448377	36624	1832	1367	60	184	176	360	45	1189	3926	5103
232313	232313	208060661	281475	16840	7984	4730	1738	1476	3214	912	9882	46779	74004
232315	232315	208060682	43228	4159	2634	0	0	631	0	230	3727	15188	12998
232316	232316	208060736	91956	5501	2608	1545	0	482	0	298	3228	15282	24177
232321	232321	208061120	404234	24184	11466	6793	0	2120	0	1310	14192	67181	106280
232322	232322	208061144	123490	7388	3503	2075	762	648	1410	400	4335	20523	32468
232323	232323	208061145	185894	9297	5702	305	1324	1252	2576	713	6033	19928	25904
232325	232325	208061189	241565	14452	9811	578	1661	1571	3232	831	8481	40147	63511
232333	232333	208061684	147012	8795	4170	2470	908	771	1679	476	5161	24433	38652
232336	232336	208061818	228495	12210	3452	6459	0	599	0	824	9533	48712	53843
232337	232337	208061819	96944	9328	5538	0	0	1624	0	416	8358	34061	29149
232338	232338	208061839	1748876	93454	58671	12848	8696	7914	16610	5325	72961	372839	412108
232339	232339	208061872	74226	5285	3666	256	597	597	1194	170	6057	13681	30473
232346	232346	208062134	29428	2323	1691	0	251	228	479	153	1813	9267	10243
232347	232347	208062167	1840593	110119	52206	30930	11364	9654	21018	5965	64618	305896	483922
232351	232351	208062373	34340	2981	1966	0	428	363	791	225	1750	8282	13102
232353	232353	208062425	7820	617	449	0	67	61	128	41	482	2462	2722
232354	232354	208062460	76273	6634	4390	264	0	825	0	297	5945	24225	20732
232357	232357	208062535	286006	15283	4321	8084	1096	750	1846	1032	11932	60973	67395
232417	232417	208448442	21137	1835	1298	0	220	208	428	110	1077	5098	8065
232420	232420	208448489	24860	1487	1010	59	171	162	333	85	873	4132	6536
232438	232438	208448794	20582	1787	1178	0	256	218	474	135	1049	4964	7853
232439	232439	208448800	21201	2133	1353	0	0	297	0	169	1384	4572	5943
232440	232440	208448806	24552	1228	753	40	175	165	340	94	797	2632	3421
232441	232441	208448815	39866	1994	1223	66	284	269	553	153	1294	4274	5555
232448	232448	208448932	26028	1747	950	59	0	311	0	90	794	3452	12650
232455	232455	208449124	21045	1052	646	35	150	142	292	81	683	2256	2932
232459	232459	208449225	29682	1484	910	49	0	200	0	114	963	3182	4136
232460	232460	208449267	21201	2133	1353	0	0	297	0	169	1384	4572	5943
232466	232466	208449472	31057	1506	1009	57	180	176	356	85	1137	1886	17281
232467	232467	208449480	254579	22143	15807	934	2401	2268	4669	734	19842	80857	69197
232468	232468	208449490	169033	9033	5671	1242	840	765	1605	515	7052	36036	39831
232473	232473	208063011	33448	2640	1922	0	285	259	544	174	2061	10533	11642
232474	232474	208063014	301483	16110	10114	2215	1499	1364	2863	918	12578	64273	71042
232479	232479	208063150	28226	2451	1616	0	352	299	651	185	1438	6808	10769
232480	232480	208063155	23846522	1133343	660739	168301	110388	110388	220776	83527	758310	3833954	12159274
232481	232481	208063237	215043	12866	6099	3614	0	1128	0	697	7550	35739	56538
232483	232483	208063278	6267	342	238	0	42	41	83	20	259	429	3928
232489	232489	208063460	9947	668	363	23	129	119	248	34	304	1319	4835
232490	232490	208063467	32916	1370	1022	63	114	106	220	65	993	5269	10956
232494	232494	208063697	29402	2553	1683	0	366	311	677	192	1498	7091	11218
232495	232495	208063704	32998	1600	1072	61	191	187	378	90	1209	2004	18361
232496	232496	208063731	251336	17785	13464	0	1826	1664	3490	832	5047	112233	64200
232498	232498	208063804	62703	4949	3874	0	408	334	742	334	3864	19746	21825
232633	232633	208449509	84913	4818	1875	1647	500	414	914	383	3774	22705	20414
232634	232634	208449510	26781	2114	1654	0	174	143	317	143	1650	8434	9322
232641	232641	208449655	21228	1205	469	412	125	103	228	96	943	5676	5104
232653	232653	208449897	42089	2105	1291	69	300	284	584	161	1366	4512	5865
232658	232658	208450098	24994	1200	938	0	0	98	0	60	870	4616	9598
232662	232662	208450162	35674	1664	794	512	0	121	0	98	4111	4343	9806
232670	232670	208450576	20465	1193	832	36	145	145	290	36	631	3911	6983
232676	232676	208450684	24994	1200	938	0	0	98	0	60	870	4616	9598
232680	232680	208450838	21680	1230	479	420	128	106	234	98	964	5797	5212
232790	232790	208064775	1792574	95789	27080	50669	0	4703	0	6467	74784	382155	422405
232854	232854	208000878	12574451	752302	510725	30080	0	81779	0	43239	441456	2089802	3306031
232855	232855	208000936	140737	8420	3992	2365	869	738	1607	456	4941	23390	37002
232857	232857	208000966	697983	40699	29277	2208	3840	3840	7680	1536	21510	133382	238158
232861	232861	208001061	17717728	826227	365077	326648	57644	38429	96073	38429	2041858	2156890	4870144
232862	232862	208001088	7989858	399580	298169	13140	40093	38408	78501	9771	259320	856506	1113354
232865	232865	208001174	3686222	320620	196656	10535	45652	43194	88846	24582	287301	1170788	1001950
232867	232867	208001195	261303	13068	8015	429	1861	1761	3622	1002	8481	28011	36412
232868	232868	208001263	3277240	152827	91696	27787	0	11115	0	8336	377682	398959	900828
232871	232871	208001437	6129812	327557	92600	173265	23496	16083	39579	22114	255728	1306802	1444438
232876	232876	208002074	1377712	119830	74181	4150	19194	16600	35794	5706	107377	437578	374475
232886	232886	208003151	2375607670	126944674	77751436	27600454	8184362	6704211	14888573	6704211	99107509	506451012	559791704
232888	232888	208003372	7538411	655675	489114	30192	0	50824	0	31199	587536	2394289	2049012
232890	232890	208003600	4292148	256790	121741	72127	0	22513	0	13909	150686	713330	1128477
232904	232904	208450937	24828	1485	994	71	0	171	0	66	872	4126	6528
232905	232905	208450963	23302	1839	1104	0	0	192	0	264	1436	7338	8111
232907	232907	208451016	23880	2073	1466	0	0	235	0	124	1217	5759	9111
232909	232909	208451034	35518	1776	1325	58	0	171	0	43	1153	3807	4949
232911	232911	208451064	27032	1345	842	47	193	184	377	78	684	2892	11647
232923	232923	208451433	23302	1839	1104	0	0	192	0	264	1436	7338	8111
232934	232934	208451679	21865	1093	816	36	110	105	215	27	710	2344	3047
232942	232942	208451766	23302	1839	1104	0	0	192	0	264	1436	7338	8111
232945	232945	208451786	28541	1427	875	47	203	192	395	109	926	3060	3977
232948	232948	208451835	24994	1200	938	0	0	98	0	60	870	4616	9598
233015	233015	208064894	228495	12210	3452	6459	0	599	0	824	9533	48712	53843
233020	233020	208064956	7988	630	459	0	68	62	130	42	492	2515	2780
233032	233032	208065064	673724	40307	19109	11322	0	3534	0	2183	23653	111969	177133
233034	233034	208065114	588049	35182	16679	9882	3631	3084	6715	1906	20645	97730	154608
233036	233036	208065132	39482	3428	1352	0	694	427	1121	955	2012	9522	15064
233039	233039	208065204	422739	25292	17170	1011	2907	2749	5656	1454	14841	70257	111145
233045	233045	208065293	24983	1677	911	57	324	298	622	86	762	3314	12142
233078	233078	208005075	2165604	107764	62720	2661	17961	17200	35161	7222	54777	231698	933124
233086	233086	208005427	29428	2323	1691	0	251	228	479	153	1813	9267	10243
233091	233091	208005582	90333	5126	1995	1752	532	440	972	407	4015	24154	21717
233109	233109	208006615	142937	7638	4795	1050	711	647	1358	435	5963	30472	33682
233113	233113	208007087	483223	24166	14823	794	3441	3256	6697	1853	15684	51801	67335
233116	233116	208007225	967447	52986	36226	2233	6572	6163	12735	1792	30502	250040	300489
233140	233140	208452483	28424	1422	1061	47	143	137	280	35	923	3047	3961
233142	233142	208452557	23504	1175	721	39	167	158	325	90	763	2520	3275
233145	233145	208452612	23198	1557	846	53	0	277	0	80	708	3077	11275
233150	233150	208452710	24097	1618	879	55	0	287	0	83	735	3196	11712
233152	233152	208452772	23522	1407	667	395	145	123	268	76	826	3909	6184
233153	233153	208452781	23035	1307	509	447	136	112	248	104	1024	6159	5538
233156	233156	208452961	23070	1380	923	66	171	159	330	61	810	3834	6065
233158	233158	208452992	21273	1524	857	0	0	280	0	81	693	3011	11033
233162	233162	208453136	20081	1348	733	46	0	240	0	69	613	2663	9760
233165	233165	208453204	26512	1780	967	60	0	316	0	92	809	3516	12885
233168	233168	208453276	27197	1627	230	1045	118	72	190	162	955	4520	7151
233169	233169	208453295	22207	1036	621	188	94	75	169	56	2559	2703	6104
233185	233185	208065679	35871	3114	2053	0	447	380	827	235	1828	8651	13686
233193	233193	208065757	28148	2444	1611	0	351	298	649	184	1434	6789	10739
233195	233195	208065793	41645	3622	2397	144	469	451	920	162	3246	13227	11320
233198	233198	208065816	51038	2896	1127	990	300	249	549	230	2268	13647	12270
233201	233201	208065867	3888	391	258	0	53	50	103	30	254	838	1090
