level_0	index	SITEID	IT_STAFF	WIRELESS_USERS	INTERNET_USERS	DEVELOPERS	PCS	DESKTOPS	LAPTOPS	SERVERS	PRINTERS	COLOR_PRINTERS	MULTIFUNC_PRINTERS	STORAGE	EXTENSIONS	CALLCENTER_CALLERS	NETWORK_LINES	ROUTERS
281726	281726	208102437	1 to 4	15	25 to 49	0	35	26	9	3	7	0	0	10 to 25 TB	0	0	5	0
281729	281729	208071335	0	5	10 to 24	0	17	13	4	2	5	0	0	100 to 500 TB	0	0	3	0
281732	281732	208071352	1 to 4	10	25 to 49	0	65	58	7	8	8	0	0	100 to 500 TB	0	0	3	0
281735	281735	208071412	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	2	0
281736	281736	208071417	1 to 4	2	5 to 9	0	8	7	1	2	1	0	0	25 to 50 TB	0	0	3	0
281751	281751	208071864		1	1 to 4	0	44	30	14	8	6	0	0	25 to 50 TB	0	0	2	0
281753	281753	208071891	0	5	10 to 24	0	14	10	4	1	4	0	0	10 to 25 TB	0	0	3	0
281756	281756	208071945	1 to 4	4	5 to 9	0	12	9	3	1	4	0	0	1 to 10 TB	0	0	3	0
281758	281758	208071984	1 to 4	17	25 to 49	0	43	28	15	4	7	0	0	100 to 500 TB	0	0	4	0
281764	281764	208072022	1 to 4	5	10 to 24	0	38	25	13	6	7	0	0	500 TB to 1 PB	0	0	4	0
281787	281787	208104849	0	9	25 to 49	0	6	5	1	1	3	0	0	1 to 10 TB	0	0	0	0
281797	281797	208105119	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281798	281798	208105130	0	2	5 to 9	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281799	281799	208105131	1 to 4	1	1 to 4	0	34	25	9	5	7	0	0	10 to 25 TB	0	0	0	0
281800	281800	208105153	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281803	281803	208105204	0	1	1 to 4	0	1	0	1	0	1	0	0	10 to 25 TB	0	0	0	0
281804	281804	208105210	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281806	281806	208105227	0	1	1 to 4	0	4	3	1	0	3	0	0	1 to 10 TB	0	0	0	0
281810	281810	208105266	0	3	5 to 9	0	29	21	8	3	6	0	0	100 to 500 TB	0	0	0	0
281811	281811	208105272	0	1	1 to 4	0	5	4	1	0	2	0	0	50 to 100 TB	0	0	0	0
281817	281817	208105319	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281827	281827	208105445	0	1	1 to 4	0	5	4	1	0	2	0	0	25 to 50 TB	0	0	0	0
281832	281832	208105624	0	0		0	4	3	1	0	2	0	0	10 to 25 TB	0	0	0	0
281835	281835	208105656	0	3	1 to 4	0	5	3	2	0	2	0	0	1 to 10 TB	0	0	0	0
281905	281905	208402911	0	0			7	4	3	0	2	0	0	100 to 500 TB	0	0	0	0
281906	281906	208402987	0	0			4	3	1	0	2	0	0	10 to 25 TB	0	0	0	0
281927	281927	208414193	0	0			1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281958	281958	208102775	0	2	1 to 4	0	7	4	3	0	2	0	0	100 to 500 TB	0	0	2	0
281959	281959	208102816	10 to 24	50	100 to 249	0	181	139	42	22	35	0	0	25 to 50 TB	0	0	7	0
281961	281961	208102853	1 to 4	4	10 to 24	0	34	26	8	3	7	0	0	25 to 50 TB	0	0	3	0
281963	281963	208102918	0	4	5 to 9	0	10	7	3	1	3	0	0	50 to 100 TB	0	0	3	0
281965	281965	208102949	1 to 4	12	10 to 24	0	20	15	5	2	6	0	0	100 to 500 TB	0	0	3	0
281967	281967	208103131	250 to 499	757	1000 or More	0	3495	3120	375	797	763	0	0	500 TB to 1 PB	0	0	0	0
281968	281968	208103139	5 to 9	29	100 to 249	0	260	198	62	14	41	0	0	100 to 500 TB	0	0	0	0
281970	281970	208103194	10 to 24	39	50 to 99	0	160	118	42	37	22	0	0	100 to 500 TB	0	0	0	0
281971	281971	208103310	0	1	1 to 4	0	9	5	4	0	2	0	0	1 to 10 TB	0	0	0	0
281976	281976	208103358	0	1	1 to 4	0	5	4	1	0	2	0	0	50 to 100 TB	0	0	0	0
281984	281984	208103462	0	2	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	0	0
281986	281986	208103546	0	2	1 to 4	0	5	4	1	0	2	0	0	1 to 10 TB	0	0	0	0
281989	281989	208103567	0	1	1 to 4	0	8	6	2	0	2	0	0	25 to 50 TB	0	0	0	0
281991	281991	208103621	0	3	1 to 4	0	8	6	2	0	2	0	0	1 to 10 TB	0	0	0	0
282002	282002	208103832	0	1	1 to 4	0	4	3	1	0	2	0	0	1 to 10 TB	0	0	0	0
282005	282005	208072550	0	1	1 to 4	0	1	0	1	0	1	0	0	10 to 25 TB	0	0	2	0
282009	282009	208072632		4	10 to 24	0	38	32	6	5	10	0	0	25 to 50 TB	0	0	2	0
282010	282010	208072656	0	21	50 to 99	0	62	49	13	6	14	0	0	10 to 25 TB	0	0	4	0
282012	282012	208072681	0	1	1 to 4	0	1	0	1	0	1	0	0	1 to 10 TB	0	0	2	0
282016	282016	208072799	0	1	1 to 4	0	1	0	1	0	1	0	0	10 to 25 TB	0	0	2	0
282019	282019	208072819	0	1	1 to 4	0	1	0	1	0	1	0	0	10 to 25 TB	0	0	2	0
282021	282021	208072889	0	5	10 to 24	0	45	32	13	3	10	0	0	500 TB to 1 PB	0	0	3	0
282025	282025	208073070	0	10	10 to 24	0	16	11	5	1	5	0	0	50 to 100 TB	0	0	3	0
282042	282042	208073339	1 to 4	9	25 to 49	0	63	53	10	15	11	0	0	100 to 500 TB	0	0	5	0
