level_0	index	SITEID	REF_TYPE	REF_ID
5981	5981	208109073	DUN	202262200
6053	6053	208111331	DUN	203018551
6059	6059	208123176	DUN	249226135
6084	6084	208654284	DUN	255316929
6117	6117	208104138	DUN	202906384
6210	6210	208122640	DUN	248910007
6248	6248	208047478	DUN	208854435
6252	6252	208567710	DUN	203707872
6289	6289	208567097	DUN	203708461
6295	6295	208462908	DUN	202949405
6304	6304	208469821	DUN	203637947
6326	6326	208976044	DUN	247671394
6345	6345	208132382	DUN	253710768
6399	6399	208448013	DUN	202177192
6459	6459	208068968	DUN	247431265
6470	6470	208043371	DUN	207156873
6472	6472	208047921	DUN	209125678
6501	6501	208010988	DUN	243268745
6528	6528	208027781	DUN	202102687
6568	6568	208448084	DUN	202345398
6596	6596	208028122	DUN	202142258
6639	6639	208071974	DUN	249347519
6674	6674	208067448	DUN	245896782
6696	6696	208025223	DUN	201244758
6708	6708	208024858	DUN	201143471
6754	6754	208469813	DUN	244210790
6776	6776	208059657	DUN	242129661
6798	6798	208459562	DUN	253065379
6889	6889	208119027	DUN	247250418
6892	6892	208133291	DUN	255280349
6910	6910	208124980	DUN	241676188
6940	6940	208066064	DUN	244347225
6953	6953	208165022	DUN	253126432
6961	6961	208021819	DUN	200060130
6986	6986	208094953	DUN	202344636
7005	7005	208108409	DUN	201009375
7008	7008	208133447	DUN	255028326
7011	7011	208229784	DUN	258446459
7128	7128	208069710	DUN	248122624
7131	7131	208112317	DUN	203314294
7153	7153	208132446	DUN	253631428
7193	7193	208120177	DUN	247899847
7296	7296	208122318	DUN	248750122
7322	7322	208094858	DUN	202191631
7353	7353	208028151	DUN	202150793
7365	7365	208087375	DUN	201138059
7433	7433	208106897	DUN	240644927
7476	7476	208453976	DUN	243199270
7491	7491	208448068	DUN	202288130
7508	7508	208068423	DUN	246970685
7533	7533	208130628	DUN	244936816
7568	7568	208190767	DUN	208104109
7605	7605	208101259	DUN	250778586
7611	7611	208081180	DUN	253648216
7614	7614	208100679	DUN	248646994
